stem,options,answer,analysis,knowledgePointIds,difficulty,type,source,year,expectedTimeSec
顺序表适合随机访问的主要原因是?,A.元素地址可由下标直接计算|B.插入删除不移动元素|C.存储空间一定最小|D.不需要连续空间,A,顺序表连续存储，元素地址可由首地址和下标计算，因此随机访问时间为 O(1)。,ds-list,基础,选择题,自编基础题,2026,80
单链表查找第 i 个结点的时间复杂度通常是?,A.O(log n)|B.O(n)|C.O(n log n)|D.O(1),B,单链表只能从头指针逐个向后访问，定位第 i 个结点需要线性扫描。,ds-list,基础,选择题,自编基础题,2026,90
在顺序表中间插入一个元素，主要代价来自?,A.申请头结点|B.递归回溯|C.比较关键字|D.移动后续元素,D,顺序表保持连续存储，中间插入需要移动插入位置之后的元素。,ds-list,基础,选择题,自编基础题,2026,100
带头结点单链表的头指针通常指向?,A.空结点|B.第一个数据结点|C.最后一个数据结点|D.头结点,D,带头结点链表中头指针指向头结点，头结点不一定保存有效数据。,ds-list,基础,选择题,自编基础题,2026,110
循环队列判断队空的常见条件是?,A.front == rear|B.front > rear|C.rear == maxSize|D.front == 0,A,常见循环队列用 front == rear 表示队空，牺牲一个单元时用另一条件表示队满。,ds-list,基础,选择题,自编基础题,2026,120
顺序表适合随机访问的主要原因是?（变式 2，数据结构-线性表）,A.插入删除不移动元素|B.存储空间一定最小|C.不需要连续空间|D.元素地址可由下标直接计算,D,顺序表连续存储，元素地址可由首地址和下标计算，因此随机访问时间为 O(1)。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-list,基础,选择题,自编变式题,2026,80
单链表查找第 i 个结点的时间复杂度通常是?（变式 2，数据结构-线性表）,A.O(n)|B.O(n log n)|C.O(1)|D.O(log n),A,单链表只能从头指针逐个向后访问，定位第 i 个结点需要线性扫描。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-list,基础,选择题,自编变式题,2026,90
在顺序表中间插入一个元素，主要代价来自?（变式 2，数据结构-线性表）,A.递归回溯|B.比较关键字|C.移动后续元素|D.申请头结点,C,顺序表保持连续存储，中间插入需要移动插入位置之后的元素。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-list,基础,选择题,自编变式题,2026,100
带头结点单链表的头指针通常指向?（变式 2，数据结构-线性表）,A.第一个数据结点|B.最后一个数据结点|C.头结点|D.空结点,C,带头结点链表中头指针指向头结点，头结点不一定保存有效数据。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-list,中等,选择题,自编变式题,2026,110
循环队列判断队空的常见条件是?（变式 2，数据结构-线性表）,A.front > rear|B.rear == maxSize|C.front == 0|D.front == rear,D,常见循环队列用 front == rear 表示队空，牺牲一个单元时用另一条件表示队满。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-list,中等,选择题,自编变式题,2026,120
顺序表适合随机访问的主要原因是?（变式 3，数据结构-线性表）,A.存储空间一定最小|B.不需要连续空间|C.元素地址可由下标直接计算|D.插入删除不移动元素,C,顺序表连续存储，元素地址可由首地址和下标计算，因此随机访问时间为 O(1)。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-list,中等,选择题,自编变式题,2026,80
单链表查找第 i 个结点的时间复杂度通常是?（变式 3，数据结构-线性表）,A.O(n log n)|B.O(1)|C.O(log n)|D.O(n),D,单链表只能从头指针逐个向后访问，定位第 i 个结点需要线性扫描。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-list,中等,选择题,自编变式题,2026,90
在顺序表中间插入一个元素，主要代价来自?（变式 3，数据结构-线性表）,A.比较关键字|B.移动后续元素|C.申请头结点|D.递归回溯,B,顺序表保持连续存储，中间插入需要移动插入位置之后的元素。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-list,中等,选择题,自编变式题,2026,100
带头结点单链表的头指针通常指向?（变式 3，数据结构-线性表）,A.最后一个数据结点|B.头结点|C.空结点|D.第一个数据结点,B,带头结点链表中头指针指向头结点，头结点不一定保存有效数据。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-list,中等,选择题,自编变式题,2026,110
循环队列判断队空的常见条件是?（变式 3，数据结构-线性表）,A.rear == maxSize|B.front == 0|C.front == rear|D.front > rear,C,常见循环队列用 front == rear 表示队空，牺牲一个单元时用另一条件表示队满。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-list,中等,选择题,自编变式题,2026,120
顺序表适合随机访问的主要原因是?（变式 4，数据结构-线性表）,A.不需要连续空间|B.元素地址可由下标直接计算|C.插入删除不移动元素|D.存储空间一定最小,B,顺序表连续存储，元素地址可由首地址和下标计算，因此随机访问时间为 O(1)。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-list,中等,选择题,自编变式题,2026,80
单链表查找第 i 个结点的时间复杂度通常是?（变式 4，数据结构-线性表）,A.O(1)|B.O(log n)|C.O(n)|D.O(n log n),C,单链表只能从头指针逐个向后访问，定位第 i 个结点需要线性扫描。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-list,困难,选择题,自编变式题,2026,90
在顺序表中间插入一个元素，主要代价来自?（变式 4，数据结构-线性表）,A.移动后续元素|B.申请头结点|C.递归回溯|D.比较关键字,A,顺序表保持连续存储，中间插入需要移动插入位置之后的元素。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-list,困难,选择题,自编变式题,2026,100
带头结点单链表的头指针通常指向?（变式 4，数据结构-线性表）,A.头结点|B.空结点|C.第一个数据结点|D.最后一个数据结点,A,带头结点链表中头指针指向头结点，头结点不一定保存有效数据。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-list,困难,选择题,自编变式题,2026,110
循环队列判断队空的常见条件是?（变式 4，数据结构-线性表）,A.front == 0|B.front == rear|C.front > rear|D.rear == maxSize,B,常见循环队列用 front == rear 表示队空，牺牲一个单元时用另一条件表示队满。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-list,困难,选择题,自编变式题,2026,120
含 n 个结点的二叉链表中，空指针域个数是?,A.n-1|B.n|C.n+1|D.2n,C,二叉链表共有 2n 个指针域，非空指针为边数 n-1，因此空指针为 n+1。,ds-tree,基础,选择题,自编基础题,2026,80
完全二叉树适合用顺序存储的原因是?,A.必须是二叉搜索树|B.没有叶子结点|C.高度一定为 1|D.结点编号关系简单,D,完全二叉树按层编号后父子下标关系简单，顺序存储空间利用率高。,ds-tree,基础,选择题,自编基础题,2026,90
二叉排序树中序遍历得到的序列通常是?,A.层序序列|B.后缀表达式|C.随机序列|D.递减或递增有序序列,D,二叉排序树满足左小右大，中序遍历可得到有序序列。,ds-tree,基础,选择题,自编基础题,2026,100
哈夫曼树用于编码时追求的是?,A.所有编码等长|B.平均编码长度最短|C.树高最大|D.叶子数最少,B,哈夫曼编码根据权值构造带权路径长度最小的树，从而降低平均编码长度。,ds-tree,基础,选择题,自编基础题,2026,110
已知先序和中序序列能唯一确定二叉树的前提是?,A.结点值互异|B.树必须满二叉树|C.树必须平衡|D.叶子都在同一层,A,结点值互异时可由先序根结点在中序中的位置递归划分左右子树。,ds-tree,基础,选择题,自编基础题,2026,120
含 n 个结点的二叉链表中，空指针域个数是?（变式 2，数据结构-树与二叉树）,A.n|B.n+1|C.2n|D.n-1,B,二叉链表共有 2n 个指针域，非空指针为边数 n-1，因此空指针为 n+1。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-tree,基础,选择题,自编变式题,2026,80
完全二叉树适合用顺序存储的原因是?（变式 2，数据结构-树与二叉树）,A.没有叶子结点|B.高度一定为 1|C.结点编号关系简单|D.必须是二叉搜索树,C,完全二叉树按层编号后父子下标关系简单，顺序存储空间利用率高。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-tree,基础,选择题,自编变式题,2026,90
二叉排序树中序遍历得到的序列通常是?（变式 2，数据结构-树与二叉树）,A.后缀表达式|B.随机序列|C.递减或递增有序序列|D.层序序列,C,二叉排序树满足左小右大，中序遍历可得到有序序列。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-tree,基础,选择题,自编变式题,2026,100
哈夫曼树用于编码时追求的是?（变式 2，数据结构-树与二叉树）,A.平均编码长度最短|B.树高最大|C.叶子数最少|D.所有编码等长,A,哈夫曼编码根据权值构造带权路径长度最小的树，从而降低平均编码长度。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-tree,中等,选择题,自编变式题,2026,110
已知先序和中序序列能唯一确定二叉树的前提是?（变式 2，数据结构-树与二叉树）,A.树必须满二叉树|B.树必须平衡|C.叶子都在同一层|D.结点值互异,D,结点值互异时可由先序根结点在中序中的位置递归划分左右子树。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-tree,中等,选择题,自编变式题,2026,120
含 n 个结点的二叉链表中，空指针域个数是?（变式 3，数据结构-树与二叉树）,A.n+1|B.2n|C.n-1|D.n,A,二叉链表共有 2n 个指针域，非空指针为边数 n-1，因此空指针为 n+1。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-tree,中等,选择题,自编变式题,2026,80
完全二叉树适合用顺序存储的原因是?（变式 3，数据结构-树与二叉树）,A.高度一定为 1|B.结点编号关系简单|C.必须是二叉搜索树|D.没有叶子结点,B,完全二叉树按层编号后父子下标关系简单，顺序存储空间利用率高。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-tree,中等,选择题,自编变式题,2026,90
二叉排序树中序遍历得到的序列通常是?（变式 3，数据结构-树与二叉树）,A.随机序列|B.递减或递增有序序列|C.层序序列|D.后缀表达式,B,二叉排序树满足左小右大，中序遍历可得到有序序列。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-tree,中等,选择题,自编变式题,2026,100
哈夫曼树用于编码时追求的是?（变式 3，数据结构-树与二叉树）,A.树高最大|B.叶子数最少|C.所有编码等长|D.平均编码长度最短,D,哈夫曼编码根据权值构造带权路径长度最小的树，从而降低平均编码长度。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-tree,中等,选择题,自编变式题,2026,110
已知先序和中序序列能唯一确定二叉树的前提是?（变式 3，数据结构-树与二叉树）,A.树必须平衡|B.叶子都在同一层|C.结点值互异|D.树必须满二叉树,C,结点值互异时可由先序根结点在中序中的位置递归划分左右子树。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-tree,中等,选择题,自编变式题,2026,120
含 n 个结点的二叉链表中，空指针域个数是?（变式 4，数据结构-树与二叉树）,A.2n|B.n-1|C.n|D.n+1,D,二叉链表共有 2n 个指针域，非空指针为边数 n-1，因此空指针为 n+1。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-tree,中等,选择题,自编变式题,2026,80
完全二叉树适合用顺序存储的原因是?（变式 4，数据结构-树与二叉树）,A.结点编号关系简单|B.必须是二叉搜索树|C.没有叶子结点|D.高度一定为 1,A,完全二叉树按层编号后父子下标关系简单，顺序存储空间利用率高。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-tree,困难,选择题,自编变式题,2026,90
二叉排序树中序遍历得到的序列通常是?（变式 4，数据结构-树与二叉树）,A.递减或递增有序序列|B.层序序列|C.后缀表达式|D.随机序列,A,二叉排序树满足左小右大，中序遍历可得到有序序列。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-tree,困难,选择题,自编变式题,2026,100
哈夫曼树用于编码时追求的是?（变式 4，数据结构-树与二叉树）,A.叶子数最少|B.所有编码等长|C.平均编码长度最短|D.树高最大,C,哈夫曼编码根据权值构造带权路径长度最小的树，从而降低平均编码长度。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-tree,困难,选择题,自编变式题,2026,110
已知先序和中序序列能唯一确定二叉树的前提是?（变式 4，数据结构-树与二叉树）,A.叶子都在同一层|B.结点值互异|C.树必须满二叉树|D.树必须平衡,B,结点值互异时可由先序根结点在中序中的位置递归划分左右子树。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-tree,困难,选择题,自编变式题,2026,120
邻接矩阵表示无向图时，矩阵通常具有的性质是?,A.对称|B.上三角|C.下三角|D.主对角全为 1,A,"无向图边 (i,j) 与 (j,i) 等价，因此邻接矩阵关于主对角线对称。",ds-graph,基础,选择题,自编基础题,2026,80
深度优先遍历图时主要使用的数据结构思想是?,A.队列|B.哈希表|C.堆|D.栈或递归,D,DFS 沿一条路径尽可能深入，递归调用栈或显式栈都能表达回溯过程。,ds-graph,基础,选择题,自编基础题,2026,90
广度优先遍历图时通常使用?,A.二叉堆|B.顺序查找表|C.队列|D.栈,C,BFS 按层扩展顶点，需要先进先出的队列维护待访问顶点。,ds-graph,基础,选择题,自编基础题,2026,100
Dijkstra 算法通常要求边权满足?,A.必须为整数|B.非负|C.全为 0|D.必须互异,B,Dijkstra 依赖已确定最短距离不会再被负边更新，因此要求边权非负。,ds-graph,基础,选择题,自编基础题,2026,110
拓扑排序适用于哪类图?,A.有向无环图|B.无向连通图|C.完全图|D.带负权图,A,拓扑排序用于描述有向无环图中顶点之间的先后依赖关系。,ds-graph,基础,选择题,自编基础题,2026,120
邻接矩阵表示无向图时，矩阵通常具有的性质是?（变式 2，数据结构-图）,A.上三角|B.下三角|C.主对角全为 1|D.对称,D,"无向图边 (i,j) 与 (j,i) 等价，因此邻接矩阵关于主对角线对称。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。",ds-graph,基础,选择题,自编变式题,2026,80
深度优先遍历图时主要使用的数据结构思想是?（变式 2，数据结构-图）,A.哈希表|B.堆|C.栈或递归|D.队列,C,DFS 沿一条路径尽可能深入，递归调用栈或显式栈都能表达回溯过程。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-graph,基础,选择题,自编变式题,2026,90
广度优先遍历图时通常使用?（变式 2，数据结构-图）,A.顺序查找表|B.队列|C.栈|D.二叉堆,B,BFS 按层扩展顶点，需要先进先出的队列维护待访问顶点。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-graph,基础,选择题,自编变式题,2026,100
Dijkstra 算法通常要求边权满足?（变式 2，数据结构-图）,A.非负|B.全为 0|C.必须互异|D.必须为整数,A,Dijkstra 依赖已确定最短距离不会再被负边更新，因此要求边权非负。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-graph,中等,选择题,自编变式题,2026,110
拓扑排序适用于哪类图?（变式 2，数据结构-图）,A.无向连通图|B.完全图|C.带负权图|D.有向无环图,D,拓扑排序用于描述有向无环图中顶点之间的先后依赖关系。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-graph,中等,选择题,自编变式题,2026,120
邻接矩阵表示无向图时，矩阵通常具有的性质是?（变式 3，数据结构-图）,A.下三角|B.主对角全为 1|C.对称|D.上三角,C,"无向图边 (i,j) 与 (j,i) 等价，因此邻接矩阵关于主对角线对称。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。",ds-graph,中等,选择题,自编变式题,2026,80
深度优先遍历图时主要使用的数据结构思想是?（变式 3，数据结构-图）,A.堆|B.栈或递归|C.队列|D.哈希表,B,DFS 沿一条路径尽可能深入，递归调用栈或显式栈都能表达回溯过程。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-graph,中等,选择题,自编变式题,2026,90
广度优先遍历图时通常使用?（变式 3，数据结构-图）,A.队列|B.栈|C.二叉堆|D.顺序查找表,A,BFS 按层扩展顶点，需要先进先出的队列维护待访问顶点。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-graph,中等,选择题,自编变式题,2026,100
Dijkstra 算法通常要求边权满足?（变式 3，数据结构-图）,A.全为 0|B.必须互异|C.必须为整数|D.非负,D,Dijkstra 依赖已确定最短距离不会再被负边更新，因此要求边权非负。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-graph,中等,选择题,自编变式题,2026,110
拓扑排序适用于哪类图?（变式 3，数据结构-图）,A.完全图|B.带负权图|C.有向无环图|D.无向连通图,C,拓扑排序用于描述有向无环图中顶点之间的先后依赖关系。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-graph,中等,选择题,自编变式题,2026,120
邻接矩阵表示无向图时，矩阵通常具有的性质是?（变式 4，数据结构-图）,A.主对角全为 1|B.对称|C.上三角|D.下三角,B,"无向图边 (i,j) 与 (j,i) 等价，因此邻接矩阵关于主对角线对称。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。",ds-graph,中等,选择题,自编变式题,2026,80
深度优先遍历图时主要使用的数据结构思想是?（变式 4，数据结构-图）,A.栈或递归|B.队列|C.哈希表|D.堆,A,DFS 沿一条路径尽可能深入，递归调用栈或显式栈都能表达回溯过程。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-graph,困难,选择题,自编变式题,2026,90
广度优先遍历图时通常使用?（变式 4，数据结构-图）,A.栈|B.二叉堆|C.顺序查找表|D.队列,D,BFS 按层扩展顶点，需要先进先出的队列维护待访问顶点。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-graph,困难,选择题,自编变式题,2026,100
Dijkstra 算法通常要求边权满足?（变式 4，数据结构-图）,A.必须互异|B.必须为整数|C.非负|D.全为 0,C,Dijkstra 依赖已确定最短距离不会再被负边更新，因此要求边权非负。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-graph,困难,选择题,自编变式题,2026,110
拓扑排序适用于哪类图?（变式 4，数据结构-图）,A.带负权图|B.有向无环图|C.无向连通图|D.完全图,B,拓扑排序用于描述有向无环图中顶点之间的先后依赖关系。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-graph,困难,选择题,自编变式题,2026,120
直接插入排序在基本有序序列上的表现通常是?,A.较好|B.最差|C.无法执行|D.空间复杂度最高,A,基本有序时元素移动次数少，直接插入排序接近线性时间。,ds-sort,基础,选择题,自编基础题,2026,80
快速排序平均时间复杂度是?,A.O(n log n)|B.O(n^2)|C.O(log n)|D.O(n),A,快速排序平均每次划分较均衡，递归层数约 log n，每层处理 n 个元素。,ds-sort,基础,选择题,自编基础题,2026,90
归并排序的典型额外空间复杂度是?,A.O(n)|B.O(n^2)|C.O(1)|D.O(log n),A,二路归并通常需要辅助数组暂存合并结果，因此额外空间为 O(n)。,ds-sort,基础,选择题,自编基础题,2026,100
堆排序建立大根堆后，每次输出的是?,A.随机值|B.当前最大值|C.当前最小值|D.中位数,B,大根堆堆顶是当前未排序元素中的最大值。,ds-sort,基础,选择题,自编基础题,2026,110
折半查找要求线性表满足?,A.有序且支持随机访问|B.链式存储|C.元素互不相等|D.长度必须为奇数,A,折半查找依赖中间位置随机访问和有序性来缩小查找区间。,ds-sort,基础,选择题,自编基础题,2026,120
直接插入排序在基本有序序列上的表现通常是?（变式 2，数据结构-排序与查找）,A.最差|B.无法执行|C.空间复杂度最高|D.较好,D,基本有序时元素移动次数少，直接插入排序接近线性时间。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-sort,基础,选择题,自编变式题,2026,80
快速排序平均时间复杂度是?（变式 2，数据结构-排序与查找）,A.O(n^2)|B.O(log n)|C.O(n)|D.O(n log n),D,快速排序平均每次划分较均衡，递归层数约 log n，每层处理 n 个元素。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-sort,基础,选择题,自编变式题,2026,90
归并排序的典型额外空间复杂度是?（变式 2，数据结构-排序与查找）,A.O(n^2)|B.O(1)|C.O(log n)|D.O(n),D,二路归并通常需要辅助数组暂存合并结果，因此额外空间为 O(n)。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-sort,基础,选择题,自编变式题,2026,100
堆排序建立大根堆后，每次输出的是?（变式 2，数据结构-排序与查找）,A.当前最大值|B.当前最小值|C.中位数|D.随机值,A,大根堆堆顶是当前未排序元素中的最大值。 本题为同考点变式，重点检查是否能迁移规则而不是只记答案。,ds-sort,中等,选择题,自编变式题,2026,110
