stem,options,answer,analysis,knowledgePointIds,difficulty,type,source,year,expectedTimeSec
"二叉树有 8 个叶子结点和 6 个度为 1 的结点，则该二叉树共有多少个结点?","A.21|B.22|C.23|D.24","A","二叉树中度为 0 的结点数 n0 与度为 2 的结点数 n2 满足 n0=n2+1，所以 n2=7。总结点数为 n0+n1+n2=8+6+7=21。","ds-tree","基础","选择题","自编基础题",2026,90
"若某二叉树的先序序列为 ABC，中序序列为 BAC，则其后序序列为?","A.BCA|B.BAC|C.CBA|D.ACB","A","先序首元素 A 为根。中序中 A 左侧为 B，右侧为 C，因此左子树为 B、右子树为 C，后序为 BCA。","ds-tree","基础","选择题","自编基础题",2026,80
"完全二叉树按层序编号，编号为 i 的结点若存在左孩子，其编号通常为?","A.i+1|B.2i|C.2i+1|D.i/2","B","按从 1 开始的层序编号，结点 i 的左孩子为 2i，右孩子为 2i+1，父结点为 floor(i/2)。","ds-tree","基础","选择题","自编易错题",2026,60
"在线索二叉树中，线索的主要作用是?","A.减少结点数量|B.加快随机访问|C.利用空指针指向遍历前驱或后继|D.保证树为平衡树","C","线索二叉树利用空的左/右指针域指向某种遍历序列下的前驱或后继，便于非递归遍历。","ds-tree","中等","选择题","自编概念题",2026,80
"哈夫曼树中，带权路径长度 WPL 最小的核心原因是?","A.所有叶子深度相同|B.权值大的结点路径更短|C.树一定是完全二叉树|D.结点按层序递增","B","哈夫曼构造每次合并权值最小的两棵树，使高权值叶子趋向较浅层，从而降低加权路径长度。","ds-tree","中等","选择题","自编基础题",2026,90
"已知一棵二叉搜索树的中序遍历序列，则该序列一定满足?","A.按层递增|B.非递减有序|C.先根后叶|D.左右子树交替出现","B","二叉搜索树左子树关键字不大于根，右子树关键字不小于根，因此中序遍历得到非递减序列。","ds-tree","基础","选择题","自编基础题",2026,70
"若只给出一棵二叉树的先序序列和后序序列，通常能否唯一确定该二叉树?","A.一定能|B.一定不能|C.满二叉树时通常可以|D.只要结点值不同就可以","C","一般二叉树仅由先序和后序不能唯一确定；若附加满二叉树等约束，结构歧义可被消除。","ds-tree","中等","选择题","自编易错题",2026,100
"堆排序建堆阶段的时间复杂度是?","A.O(log n)|B.O(n)|C.O(n log n)|D.O(n^2)","B","自底向上调整建堆时，低层结点多但调整距离短，总成本可求和为 O(n)。","ds-tree","中等","选择题","自编算法题",2026,90
"并查集中按秩合并和路径压缩的主要目的是什么?","A.保持元素有序|B.降低查找集合代表的摊还代价|C.减少集合数量|D.避免递归遍历","B","按秩合并控制树高，路径压缩让访问路径直接靠近根，二者共同降低 find 的摊还复杂度。","ds-tree","中等","选择题","自编算法题",2026,100
"对二叉树进行层序遍历时，最适合使用的数据结构是?","A.栈|B.队列|C.堆|D.散列表","B","层序遍历需要按先进先出的顺序访问同层结点和下一层结点，因此使用队列。","ds-tree","基础","选择题","自编基础题",2026,60
"直接映射 Cache 中，主存块号 29 映射到 8 行 Cache 的哪一行?","A.3|B.4|C.5|D.6","C","直接映射的 Cache 行号等于主存块号 mod Cache 行数，即 29 mod 8 = 5。","co-cache","基础","选择题","自编计算题",2026,80
